code,ko,en,cn
11,서울특별시,Seoul,서울特別市
11010,종로구,Jongno-gu,鍾路區
1101053,사직동,Sajik-dong,社稷洞
1101054,삼청동,Samcheong-dong,三淸洞
1101055,부암동,Buam-dong,付岩洞
1101056,평창동,Pyeongchang-dong,平倉洞
1101057,무악동,Muak-dong,毋岳洞
1101058,교남동,Gyonam-dong,橋南洞
1101060,가회동,Gahoe-dong,嘉會洞
1101061,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,鍾路1·2·3·4街洞
1101063,종로5·6가동,Jongno 5·6(oryuk)-ga-dong,鍾路5·6街洞
1101064,이화동,Ihwa-dong,梨花洞
1101065,혜화동,Hyehwa-dong,惠化洞
1101066,명륜3가동,Myeongnyun3(sam)-ga-dong,明倫3街洞
1101067,창신1동,Changsin 1(il)-dong,昌信1洞
1101068,창신2동,Changsin 2(i)-dong,昌信2洞
1101069,창신3동,Changsin 3(sam)-dong,昌信3洞
1101070,숭인1동,Sungin 1(il)-dong,崇仁1洞
1101071,숭인2동,Sungin 2(i)-dong,崇仁2洞
1101072,청운효자동,Cheongunhyoja-dong,淸雲孝子洞
11020,중구,Jung-gu,中區
1102052,소공동,Sogong-dong,小公洞
1102054,회현동,Hoehyeon-dong,會賢洞
1102055,명동,Myeong-dong,明洞
1102057,필동,Pil-dong,筆洞
1102058,장충동,Jangchung-dong,奬忠洞
1102059,광희동,Gwanghui-dong ,光熙洞
1102060,을지로동,Euljiro-dong,乙之路洞
1102061,신당1동,Sindang 1(il)-dong,新堂1洞
1102062,신당2동,Sindang 2(i)-dong,新堂2洞
1102063,신당3동,Sindang 3(sam)-dong,新堂3洞
1102064,신당4동,Sindang 4(sa)-dong,新堂4洞
1102065,신당5동,Sindang 5(o)-dong,新堂5洞
1102066,신당6동,Sindang 6(yuk)-dong,新堂6洞
1102067,황학동,Hwanghak-dong,黃鶴洞
1102068,중림동,Jungnim-dong,中林洞
11030,용산구,Yongsan-gu,龍山區
1103051,후암동,Huam-dong,厚岩洞
1103052,용산2가동,Yongsan 2-ga-dong,龍山2街洞
1103053,남영동,Namyeong-dong,南營洞
1103057,원효로2동,Wonhyoro 2(i)-dong,元曉路2洞
1103058,효창동,Hyochang-dong,孝昌洞
1103059,용문동,Yongmun-dong,龍門洞
1103063,이촌1동,Ichon 1(il)-dong,二村1洞
1103064,이촌2동,Ichon 2(i)-dong,二村2洞
1103065,이태원1동,Itaewon 1(il)-dong,梨泰院1洞
1103066,이태원2동,Itaewon 2(i)-dong,梨泰院2洞
1103069,서빙고동,Seobinggo-dong,西氷庫洞
1103070,보광동,Bogwang-dong,普光洞
1103071,청파동,Cheongpa-dong,靑坡洞
1103072,원효로1동,Wonhyoro 1(il)-dong,元曉路1洞
1103073,한강로동,Hangangno-dong,漢江路洞
1103074,한남동,Hannam-dong,漢南洞
11040,성동구,Seongdong-gu,城東區
1104052,왕십리2동,Wangsimni 2(i)-dong,往十里2洞
1104054,마장동,Majang-dong,馬場洞
1104055,사근동,Sageun-dong,沙斤洞
1104056,행당1동,Haengdang 1(il)-dong,杏堂1洞
1104057,행당2동,Haengdang 2(i)-dong,杏堂2洞
1104058,응봉동,Eungbong-dong,鷹峰洞
1104059,금호1가동,Geumho 1(il)-ga-dong,金湖1街洞
1104062,금호4가동,Geumho 4(sa)-ga-dong,金湖4街洞
1104065,성수1가1동,Seongsu 1(il)-ga1(il)-dong,聖水1街1洞
1104066,성수1가2동,Seongsu 1(il)-ga2(i)-dong,聖水1街2洞
1104067,성수2가1동,Seongsu 2(i)-ga1(il)-dong,聖水2街1洞
1104068,성수2가3동,Seongsu 2(i)-ga 3(sam)-dong,聖水2街3洞
1104069,송정동,Songjeong-dong,松亭洞
1104070,용답동,Yongdap-dong,龍踏洞
1104071,왕십리도선동,WangsimniDoseon-dong,往十里道詵洞
1104072,금호2·3가동,Geumho 2·3(i·sam)-ga-dong,金湖2·3街洞
1104073,옥수동,Oksu-dong,玉水洞
11050,광진구,Gwangjin-gu,廣津區
1105053,화양동,Hwayang-dong,華陽洞
1105054,군자동,Gunja-dong,君子洞
1105055,중곡1동,Junggok 1(il)-dong,中谷1洞
1105056,중곡2동,Junggok 2(i)-dong,中谷2洞
1105057,중곡3동,Junggok 3(sam)-dong,中谷3洞
1105058,중곡4동,Junggok 4(sa)-dong,中谷4洞
1105059,능동,Neung-dong,陵洞
1105060,구의1동,Guui 1(il)-dong,九宜1洞
1105061,구의2동,Guui 2(i)-dong,九宜2洞
1105062,구의3동,Guui 3(sam)-dong,九宜3洞
1105063,광장동,Gwangjang-dong,廣壯洞
1105064,자양1동,Jayang 1(il)-dong,紫陽1洞
1105065,자양2동,Jayang 2(i)-dong,紫陽2洞
1105066,자양3동,Jayang 3(sam)-dong,紫陽3洞
1105067,자양4동,Jayang 4(sa)-dong,紫陽4洞
11060,동대문구,Dongdaemun-gu,東大門區
1106071,회기동,Hoegi-dong,回基洞
1106072,휘경1동,Hwigyeong 1(il)-dong,徽慶1洞
1106073,휘경2동,Hwigyeong 2(i)-dong,徽慶2洞
1106080,청량리동,Cheongnyangni-dong,淸凉里洞
1106081,용신동,Yongsin-dong,龍新洞
1106082,제기동,Jegi-dong,祭基洞
1106083,전농1동,Jeonnong 1(il)-dong,典農1洞
1106084,전농2동,Jeonnong 2(i)-dong,典農2洞
1106085,답십리1동,Dapsimni 1(il)-dong,畓十里1洞
1106086,답십리2동,Dapsimni 2(i)-dong,畓十里2洞
1106087,장안1동,Jangan 1(il)-dong,長安1洞
1106088,장안2동,Jangan 2(i)-dong,長安2洞
1106089,이문1동,Imun 1(il)-dong,里門1洞
1106090,이문2동,Imun 2(i)-dong,里門2洞
11070,중랑구,Jungnang-gu,中浪區
1107052,면목2동,Myeonmok 2(i)-dong,面牧2洞
1107054,면목4동,Myeonmok 4(sa)-dong,面牧4洞
1107055,면목5동,Myeonmok 5(o)-dong,面牧5洞
1107057,면목7동,Myeonmok 7(chil)-dong,面牧7洞
1107059,상봉1동,Sangbong 1(il)-dong,上鳳1洞
1107060,상봉2동,Sangbong 2(i)-dong,上鳳2洞
1107061,중화1동,Junghwa 1(il)-dong,中和1洞
1107062,중화2동,Junghwa 2(i)-dong,中和2洞
1107064,묵1동,Muk 1(il)-dong,墨1洞
1107065,묵2동,Muk 2(i)-dong,墨2洞
1107068,망우3동,Mangu 3(sam)-dong,忘憂3洞
1107069,신내1동,Sinnae 1(il)-dong,新內1洞
1107070,신내2동,Sinnae 2(i)-dong,新內2洞
1107071,면목본동,Myeonmokbon-dong,面牧本洞
1107072,면목3·8동,Myeonmok 3·8(sam·pal)-dong,面牧3·8洞
1107073,망우본동,Mangubon-dong,忘憂本洞
11080,성북구,Seongbuk-gu,城北區
1108058,돈암1동,Donam 1(il)-dong,敦岩1洞
1108059,돈암2동,Donam 2(i)-dong,敦岩2洞
1108060,안암동,Anam-dong,安岩洞
1108061,보문동,Bomun-dong,普門洞
1108062,정릉1동,Jeongneung 1(il)-dong,貞陵1洞
1108063,정릉2동,Jeongneung 2(i)-dong,貞陵2洞
1108064,정릉3동,Jeongneung 3(sam)-dong,貞陵3洞
1108065,정릉4동,Jeongneung 4(sa)-dong,貞陵4洞
1108066,길음1동,Gireum 1(il)-dong,吉音1洞
1108068,길음2동,Gireum 2(i)-dong,吉音2洞
1108071,월곡1동,Wolgok 1(il)-dong,月谷1洞
1108072,월곡2동,Wolgok 2(i)-dong,月谷2洞
1108076,장위1동,Jangwi 1(il)-dong,長位1洞
1108077,장위2동,Jangwi 2(i)-dong,長位2洞
1108078,장위3동,Jangwi 3(sam)-dong,長位3洞
1108081,성북동,Seongbuk-dong,城北洞
1108082,삼선동,Samseon-dong,三仙洞
1108083,동선동,Dongseon-dong,東仙洞
1108084,종암동,Jongam-dong,鍾岩洞
1108085,석관동,Seokgwan-dong,石串洞
11090,강북구,Gangbuk-gu,江北區
1109060,번1동,Beon 1(il)-dong,樊1洞
1109061,번2동,Beon 2(i)-dong,樊2洞
