code,ko
7000055,강원대학교
7000126,경북대학교
7000215,경상대학교
7000283,공주대학교
7000329,군산대학교
7000377,금오공과대학교
7000392,목포대학교
7000452,목포해양대학교
7000463,부산대학교
7000705,순천대학교
7000751,안동대학교
7000830,전남대학교
7000903,전북대학교
7000974,제주대학교
7001066,창원대학교
7001105,충남대학교
7001161,충북대학교
7001220,한국교원대학교
7001263,한국체육대학교
7001278,한국해양대학교
7001316,서울시립대학교
7001336,가야대학교
7001337,가톨릭대학교
7001341,감리교신학대학교
7001343,강남대학교
7001355,건국대학교
7001383,건양대학교
7001388,경기대학교
7001402,경남대학교
7001418,경성대학교
7001452,경주대학교
7001453,경희대학교
7001481,계명대학교
7001504,고려대학교
7001533,고신대학교
7001534,관동대학교
7001546,광운대학교
7001555,광주가톨릭대학교
7001556,국민대학교
7001575,단국대학교
7001604,대구가톨릭대학교
7001607,대구대학교
7001628,대신대학교
7001635,대전대학교
7001644,대진대학교
7001651,덕성여자대학교
7001659,동국대학교
7001688,동덕여자대학교
7001698,동신대학교
7001699,동아대학교
7001724,동의대학교
7001737,명지대학교
7001751,목원대학교
7001758,배재대학교
7001786,부산외국어대학교
7001793,삼육대학교
7001806,상지대학교
7001818,서강대학교
7001833,서경대학교
7001834,서남대학교
7001835,서울신학대학교
7001836,서울여자대학교
7001844,서원대학교
7001845,선문대학교
7001850,성결대학교
7001851,성공회대학교
7001852,성균관대학교
7001879,성신여자대학교
7001893,세명대학교
7001894,세종대학교
7001904,수원대학교
7001920,숙명여자대학교
7001936,순천향대학교
7001946,숭실대학교
7001965,아세아연합신학대학교
7001966,아주대학교
7001981,안양대학교
7001982,연세대학교
7002016,영남대학교
7002039,영남신학대학교
7002041,용인대학교
7002042,우석대학교
7002053,울산대학교
7002065,원광대학교
7002090,이화여자대학교
7002109,인제대학교
7002118,인하대학교
7002134,장로회신학대학교
7002135,전주대학교
7002148,조선대학교
7002170,중부대학교
7002171,중앙대학교
7002200,청주대학교
7002215,총신대학교
7002216,침례신학대학교
7002217,포항공과대학교
7002222,한국외국어대학교
7002246,한국항공대학교
7002248,한남대학교
7002261,한동대학교
7002262,한림대학교
7002269,한서대학교
7002270,한성대학교
7002280,한신대학교
7002282,한양대학교
7002320,협성대학교
7002321,호남대학교
7002328,호남신학대학교
7002329,호서대학교
7002340,홍익대학교
7002377,기타4년제대학
7002378,공주교육대학교
7002389,광주교육대학교
7002401,대구교육대학교
7002402,마산교육대학
7002404,부산교육대학교
7002413,서울교육대학교
7002421,안동교육대학
7002430,전주교육대학교
7002453,진주교육대학교
7002461,청주교육대학교
7002469,춘천교육대학교
7002476,한국방송통신대학교
7002541,대전개방대학
7002569,부산개방대학
7002623,서울산업대학교
7002673,광주대학교
7002674,군산개방대학
7002705,이리농공전문대학
7002749,남해전문대학
7002770,경원전문대학
7002819,명지전문대학
7002870,영진전문대학
7002880,인하공업전문대학
7002898,창원전문대학
7002917,기타2년제대학
7002919,감리교협성신학교
7002920,강남사회복지학교
7002923,구세군사관학교
7002924,기독신학교
7002928,대한기독교신학교
7002929,대한신학교
7002930,대한유도학교
7002931,돈보스꼬예술학교
7002933,부산신학교
7002935,서울장로회신학교
7002936,성결교신학교
7002939,수도침례신학교
7002940,순복음신학교
7002941,영남신학교
7002942,영산원불교학교
7002943,장로회광주신학교
7002944,장로회대전신학교
7002945,장로회호남신학교
7002946,전주한일신학교
7002947,조선신학교
7002948,중부사회산업학교
7002950,중앙신학교
7002951,천신신학교
7002952,총회신학교
7002953,추계예술학교
7002954,피어선신학교
7002955,하나님의교회신학교
7002956,한국나사렛신학교
7002957,한국성서신학교
7002958,한성신학교
7002959,합동신학교
7002963,사관학교
7002965,육군대학
7002969,한국과학기술대학
7002970,한국예술종합학교
7002989,한경대학교
7003010,부경대학교
7003015,한국철도대학
7003016,천안공업대학
7003019,청주과학대학
7003433,한밭대학교
7003434,신라대학교
7003437,가톨릭상지대학
7003439,개혁신학교
7003441,경기공업대학
7003443,경동대학교
7003450,경운대학교
7003452,경일대학교
7003453,계명문화대학
7003455,계약신학대학원대학교
7003456,고려대학교병설보건대학
7003458,광신대학교
7003459,광양대학
7003461,광주여자대학교
7003464,국제법률경영대학원대학교
7003466,국제신학대학원대학교
7003467,군산간호대학
7003468,군장대학
7003470,극동대학교
7003473,기독신학대학원대학교
7003475,김천대학
7003478,나사렛대학교
7003481,남부대학교
7003482,남서울대학교
7003486,대구과학대학
7003490,대구예술대학교
7003491,대덕대학
7003493,대림대학
7003499,대한신학대학원대학교
7003505,동서대학교
7003509,동양대학교
7003510,동우대학
7003517,명신대학교
7003518,목포가톨릭대학교
7003519,목포과학대학
7003523,베뢰아대학원대학교
7003524,벽성대학
7003525,복음신학대학원대학교
7003526,부산가톨릭대학교
7003530,부산장신대학교
7003533,삼육간호보건대학
7003535,상지영서대학
7003538,서울기독대학교
7003540,서울성경신학대학원대학교
7003541,서울스포츠산업대학원대학교
7003544,서울장신대학교
7003545,상명대학교
7003546,서일대학
7003547,서해대학
7003548,선린대학
7003551,성심외국어대학
7003552,성화대학
7003554,송원대학
7003556,수원가톨릭대학교
7003563,신성대학
7003566,안동정보대학
7003569,안양과학대학
7003573,연암공업대학
7003576,영동대학교
7003577,영산대학교
7003581,예일신학대학원대학교
7003584,우송공업대학
7003585,우송대학교
7003586,우송정보대학
7003589,원불교대학원대학교
7003590,웨스트민스터신학대학원대학교
7003591,위덕대학교
7003595,인천가톨릭대학교
7003608,중앙승가대학교
7003609,중앙신학대학원대학교
7003611,창신대학
7003614,청강문화산업대학
7003615,청운대학교
7003616,초당대학교
7003617,추계예술대학교
7003620,칼빈대학교
7003622,평택대학교
7003625,한국개발연구원국제정책대학원대학교
7003626,한국산업기술대학교
7003627,한국성서대학교
7003628,한국정보통신대학원대학교
7003629,한라대학교
7003630,한려대학교
7003632,한민학교
7003633,한세대학교
7003635,한영신학대학교
7003636,한일장신대학교
7003637,합동신학대학원대학교
7003640,호원대학교
7003641,횃불트리니티신학대학원대학교
7003934,성강정보대학
7003938,한라공과대학교
7003939,광주예술대학교
7004121,서울불교대학원대학교
7004122,원광디지털대학교
7004123,한국기술교육대학교
7004125,대구기능대학
7004244,에스라성경대학원대학교
7004245,서울외국어대학원대학교
7004247,경인교육대학교
7004263,서정대학
7004274,금강대학교
7004276,세계사이버대학
7004284,대구한의대학교
7004285,적십자간호대학
7005173,국제영어대학원대학교
7005251,루터대학교
7005351,천안연암대학
7005646,세종사이버대학교
7005647,아시아대학교
7005648,대전가톨릭대학교
7005812,대구외국어대학교
7005813,서울디지털대학교
7006006,강릉영동대학
7006136,사이버외국어대학교
7006147,부산디지털대학교
7006151,한국정보통신기능대학
7006397,한북대학교
7006414,서울과학종합대학원대학교
7006430,청심신학대학원대학교
7006431,서울대학교
7006682,국제디지털대학교
7007005,개신대학원대학교
7007345,신경대학교
7007403,경북외국어대학교
7007464,그리스도대학교
7007469,송곡대학
7007496,영산선학대학교
7007748,북한대학원대학교
7007762,동방대학원대학교
7007764,국제문화대학원대학교
7007766,실천신학대학원대학교
7007769,경안신학대학원대학교
7007773,예수대학교
7007776,한림국제대학원대학교
7007786,바이오기능대학
7007787,건동대학교
7007798,한중대학교
7007807,백석대학교
7007820,동명대학교
7007821,공주영상대학
7007824,한반도국제대학원대학교
7007825,아주자동차대학
7007826,성산효대학원대학교
7007828,영남외국어대학
7007842,전주기전대학
7007845,베뢰아국제대학원대학교
7007846,예원예술대학교
7007847,경희사이버대학교
7007848,대구사이버대학교
7007849,서울사이버대학교
7007852,영진사이버대학
7007853,한국디지털대학교
7007855,한양사이버대학교
7007868,영남사이버대학교
7007871,을지대학교
7007879,인제대학원대학교
7007886,울산과학기술대학교
7007887,국제뇌교육종합대학원대학교
7007888,정석대학
7007889,성서침례대학원대학교
